inspection_id,truck_id,trip_id,warehouse_id,route_id,dock_id,planned_pallets,planned_load_pct,estimated_load_pct,status,issue_codes,confidence,recommendation,supervisor_action,captured_at,photo_path,synced_to_snowflake
INS-SAMPLE0000,TRK-4400,TRIP-10000,MAN,RT-BHM-02,D03,20,92.0,95.2,OPTIMAL,,0.862,Sample generated record for dashboard demo.,HOLD,2026-08-18T02:22:24.109211+00:00,,False
INS-SAMPLE0001,TRK-4401,TRIP-10001,LON,RT-BHM-02,D01,20,100.0,93.0,OPTIMAL,,0.838,Sample generated record for dashboard demo.,HOLD,2026-08-20T09:22:24.109211+00:00,,False
INS-SAMPLE0002,TRK-4402,TRIP-10002,BHM,RT-MAN-01,D01,26,95.0,81.1,UNSAFE,uneven_loading,0.791,Sample generated record for dashboard demo.,APPROVE,2026-08-14T10:22:24.109211+00:00,,False
INS-SAMPLE0003,TRK-4403,TRIP-10003,LON,RT-GLA-03,D02,24,95.0,64.7,UNDERLOADED,below_target|low_fill,0.889,Sample generated record for dashboard demo.,HOLD,2026-08-16T15:22:24.109211+00:00,,False
INS-SAMPLE0004,TRK-4404,TRIP-10004,GLA,RT-MAN-01,D03,24,100.0,90.9,OPTIMAL,,0.894,Sample generated record for dashboard demo.,HOLD,2026-08-10T20:22:24.109211+00:00,,False
INS-SAMPLE0005,TRK-4405,TRIP-10005,LON,RT-BHM-02,D02,20,100.0,67.0,UNDERLOADED,below_target|low_fill,0.9,Sample generated record for dashboard demo.,APPROVE,2026-08-19T23:22:24.109211+00:00,,False
INS-SAMPLE0006,TRK-4406,TRIP-10006,BHM,RT-BHM-02,D02,24,95.0,93.2,OPTIMAL,,0.764,Sample generated record for dashboard demo.,TOP_UP,2026-08-11T19:22:24.109211+00:00,,False
INS-SAMPLE0007,TRK-4407,TRIP-10007,MAN,RT-BHM-02,D02,26,100.0,94.4,OPTIMAL,,0.777,Sample generated record for dashboard demo.,HOLD,2026-08-15T00:22:24.109211+00:00,,False
INS-SAMPLE0008,TRK-4408,TRIP-10008,LON,RT-BHM-02,D01,24,92.0,87.6,UNSAFE,uneven_loading,0.804,Sample generated record for dashboard demo.,APPROVE,2026-08-11T17:22:24.109211+00:00,,False
INS-SAMPLE0009,TRK-4409,TRIP-10009,MAN,RT-LON-04,D02,26,100.0,84.8,UNDERLOADED,below_target|low_fill,0.75,Sample generated record for dashboard demo.,APPROVE,2026-08-17T08:22:24.109211+00:00,,False
INS-SAMPLE0010,TRK-4410,TRIP-10010,GLA,RT-LON-04,D02,22,100.0,76.6,UNDERLOADED,below_target|low_fill,0.929,Sample generated record for dashboard demo.,APPROVE,2026-08-17T21:22:24.109211+00:00,,False
INS-SAMPLE0011,TRK-4411,TRIP-10011,LON,RT-BHM-02,D03,22,95.0,79.3,UNSAFE,uneven_loading,0.886,Sample generated record for dashboard demo.,TOP_UP,2026-08-20T04:22:24.109211+00:00,,False
INS-SAMPLE0012,TRK-4412,TRIP-10012,GLA,RT-GLA-03,D03,20,92.0,83.4,UNSAFE,uneven_loading,0.863,Sample generated record for dashboard demo.,APPROVE,2026-08-14T08:22:24.109211+00:00,,False
INS-SAMPLE0013,TRK-4413,TRIP-10013,LON,RT-GLA-03,D02,22,95.0,88.8,UNSAFE,uneven_loading,0.815,Sample generated record for dashboard demo.,HOLD,2026-08-17T01:22:24.109211+00:00,,False
INS-SAMPLE0014,TRK-4414,TRIP-10014,LON,RT-GLA-03,D03,22,100.0,81.8,UNDERLOADED,below_target|low_fill,0.752,Sample generated record for dashboard demo.,APPROVE,2026-08-15T07:22:24.109211+00:00,,False
INS-SAMPLE0015,TRK-4415,TRIP-10015,BHM,RT-LON-04,D01,20,100.0,90.9,UNSAFE,uneven_loading,0.915,Sample generated record for dashboard demo.,TOP_UP,2026-08-14T07:22:24.109211+00:00,,False
INS-SAMPLE0016,TRK-4416,TRIP-10016,LON,RT-MAN-01,D03,26,92.0,68.3,UNDERLOADED,below_target|low_fill,0.891,Sample generated record for dashboard demo.,HOLD,2026-08-14T15:22:24.109211+00:00,,False
INS-SAMPLE0017,TRK-4417,TRIP-10017,MAN,RT-GLA-03,D03,26,92.0,79.2,UNDERLOADED,below_target|low_fill,0.923,Sample generated record for dashboard demo.,HOLD,2026-08-14T20:22:24.109211+00:00,,False
INS-SAMPLE0018,TRK-4418,TRIP-10018,BHM,RT-LON-04,D03,26,100.0,70.1,UNDERLOADED,below_target|low_fill,0.745,Sample generated record for dashboard demo.,APPROVE,2026-08-13T13:22:24.109211+00:00,,False
INS-SAMPLE0019,TRK-4419,TRIP-10019,MAN,RT-BHM-02,D01,20,95.0,90.1,OPTIMAL,,0.869,Sample generated record for dashboard demo.,APPROVE,2026-08-14T19:22:24.109211+00:00,,False
INS-SAMPLE0020,TRK-4420,TRIP-10020,BHM,RT-MAN-01,D03,22,92.0,85.5,UNDERLOADED,below_target|low_fill,0.778,Sample generated record for dashboard demo.,TOP_UP,2026-08-11T12:22:24.109211+00:00,,False
INS-SAMPLE0021,TRK-4421,TRIP-10021,GLA,RT-BHM-02,D02,26,100.0,65.4,UNDERLOADED,below_target|low_fill,0.76,Sample generated record for dashboard demo.,APPROVE,2026-08-10T17:22:24.109211+00:00,,False
INS-SAMPLE0022,TRK-4422,TRIP-10022,LON,RT-MAN-01,D01,26,95.0,93.0,OPTIMAL,,0.873,Sample generated record for dashboard demo.,APPROVE,2026-08-15T17:22:24.109211+00:00,,False
