product_id,warehouse_id,snapshot_date,stock_qty,reserved_qty,available_qty
P001,W01,2026-08-09,60,17,43
P001,W02,2026-08-09,407,80,327
P001,W03,2026-08-09,290,77,213
P001,W04,2026-08-09,233,18,215
P001,W05,2026-08-09,403,102,301
P001,W06,2026-08-09,553,61,492
P001,W07,2026-08-09,344,91,253
P001,W08,2026-08-09,857,46,811
P002,W01,2026-08-09,2931,676,2255
P002,W02,2026-08-09,1711,252,1459
P002,W03,2026-08-09,1124,289,835
P002,W04,2026-08-09,1395,305,1090
P002,W05,2026-08-09,2391,142,2249
P002,W06,2026-08-09,3546,988,2558
P002,W07,2026-08-09,3178,821,2357
P002,W08,2026-08-09,2715,335,2380
P003,W01,2026-08-09,1219,159,1060
P003,W02,2026-08-09,795,224,571
P003,W03,2026-08-09,2038,537,1501
P003,W04,2026-08-09,499,135,364
P003,W05,2026-08-09,1810,212,1598
P003,W06,2026-08-09,1777,550,1227
P003,W07,2026-08-09,1839,514,1325
P003,W08,2026-08-09,1036,289,747
P004,W01,2026-08-09,1209,319,890
P004,W02,2026-08-09,1910,160,1750
P004,W03,2026-08-09,1008,313,695
P004,W04,2026-08-09,997,225,772
P004,W05,2026-08-09,855,133,722
P004,W06,2026-08-09,960,273,687
P004,W07,2026-08-09,1595,411,1184
P004,W08,2026-08-09,1655,425,1230
P005,W01,2026-08-09,1192,280,912
P005,W02,2026-08-09,1761,462,1299
P005,W03,2026-08-09,4119,800,3319
P005,W04,2026-08-09,2767,766,2001
P005,W05,2026-08-09,1935,651,1284
P005,W06,2026-08-09,2188,759,1429
P005,W07,2026-08-09,1953,122,1831
P005,W08,2026-08-09,2267,629,1638
P006,W01,2026-08-09,680,51,629
P006,W02,2026-08-09,2622,912,1710
P006,W03,2026-08-09,1017,263,754
P006,W04,2026-08-09,1480,429,1051
P006,W05,2026-08-09,2361,498,1863
P006,W06,2026-08-09,3658,597,3061
P006,W07,2026-08-09,3197,676,2521
P006,W08,2026-08-09,1506,316,1190
P007,W01,2026-08-09,1180,381,799
P007,W02,2026-08-09,4685,1321,3364
P007,W03,2026-08-09,4059,794,3265
P007,W04,2026-08-09,1295,357,938
P007,W05,2026-08-09,4282,282,4000
P007,W06,2026-08-09,1984,453,1531
P007,W07,2026-08-09,1138,270,868
P007,W08,2026-08-09,4731,1269,3462
P008,W01,2026-08-09,1603,92,1511
P008,W02,2026-08-09,1926,666,1260
P008,W03,2026-08-09,1270,137,1133
P008,W04,2026-08-09,1543,426,1117
P008,W05,2026-08-09,2235,737,1498
P008,W06,2026-08-09,2789,779,2010
P008,W07,2026-08-09,2314,732,1582
P008,W08,2026-08-09,2017,705,1312
P009,W01,2026-08-09,2572,824,1748
P009,W02,2026-08-09,1621,238,1383
P009,W03,2026-08-09,1056,281,775
P009,W04,2026-08-09,1743,400,1343
P009,W05,2026-08-09,1657,202,1455
P009,W06,2026-08-09,978,190,788
P009,W07,2026-08-09,3359,888,2471
P009,W08,2026-08-09,2081,503,1578
P010,W01,2026-08-09,729,96,633
P010,W02,2026-08-09,1843,115,1728
P010,W03,2026-08-09,1584,173,1411
P010,W04,2026-08-09,896,69,827
P010,W05,2026-08-09,923,264,659
P010,W06,2026-08-09,1177,68,1109
P010,W07,2026-08-09,502,116,386
P010,W08,2026-08-09,1267,180,1087
P011,W01,2026-08-09,741,107,634
P011,W02,2026-08-09,429,121,308
P011,W03,2026-08-09,676,155,521
P011,W04,2026-08-09,330,31,299
P011,W05,2026-08-09,302,63,239
P011,W06,2026-08-09,843,112,731
P011,W07,2026-08-09,605,64,541
P011,W08,2026-08-09,593,42,551
P012,W01,2026-08-09,2707,493,2214
P012,W02,2026-08-09,2566,436,2130
P012,W03,2026-08-09,2902,189,2713
P012,W04,2026-08-09,2635,229,2406
P012,W05,2026-08-09,855,44,811
P012,W06,2026-08-09,918,116,802
P012,W07,2026-08-09,553,158,395
P012,W08,2026-08-09,1728,105,1623
P013,W01,2026-08-09,1314,326,988
P013,W02,2026-08-09,3391,175,3216
P013,W03,2026-08-09,3531,947,2584
P013,W04,2026-08-09,4536,1140,3396
P013,W05,2026-08-09,1362,251,1111
P013,W06,2026-08-09,4674,962,3712
P013,W07,2026-08-09,2190,733,1457
P013,W08,2026-08-09,2990,283,2707
P014,W01,2026-08-09,1988,301,1687
P014,W02,2026-08-09,4963,815,4148
P014,W03,2026-08-09,1225,327,898
P014,W04,2026-08-09,2844,423,2421
P014,W05,2026-08-09,1648,151,1497
P014,W06,2026-08-09,1606,189,1417
P014,W07,2026-08-09,3598,684,2914
P014,W08,2026-08-09,4052,957,3095
P015,W01,2026-08-09,1727,550,1177
P015,W02,2026-08-09,1357,190,1167
P015,W03,2026-08-09,1331,172,1159
P015,W04,2026-08-09,1018,284,734
P015,W05,2026-08-09,956,186,770
P015,W06,2026-08-09,1502,262,1240
P015,W07,2026-08-09,2355,804,1551
P015,W08,2026-08-09,981,272,709
P016,W01,2026-08-09,3433,510,2923
P016,W02,2026-08-09,2390,472,1918
P016,W03,2026-08-09,2670,755,1915
P016,W04,2026-08-09,1608,505,1103
P016,W05,2026-08-09,3338,848,2490
P016,W06,2026-08-09,939,253,686
P016,W07,2026-08-09,1029,298,731
P016,W08,2026-08-09,1109,370,739
P017,W01,2026-08-09,5178,1458,3720
P017,W02,2026-08-09,1752,143,1609
P017,W03,2026-08-09,2981,904,2077
P017,W04,2026-08-09,3132,481,2651
P017,W05,2026-08-09,1612,326,1286
P017,W06,2026-08-09,1343,313,1030
P017,W07,2026-08-09,1029,66,963
P017,W08,2026-08-09,2105,713,1392
P018,W01,2026-08-09,3206,469,2737
P018,W02,2026-08-09,1898,157,1741
P018,W03,2026-08-09,1342,406,936
P018,W04,2026-08-09,11644,3317,8327
P018,W05,2026-08-09,2949,173,2776
P018,W06,2026-08-09,2973,874,2099
P018,W07,2026-08-09,2263,115,2148
P018,W08,2026-08-09,108,26,82
P019,W01,2026-08-09,1210,331,879
P019,W02,2026-08-09,1129,112,1017
P019,W03,2026-08-09,1309,320,989
P019,W04,2026-08-09,371,28,343
P019,W05,2026-08-09,416,116,300
P019,W06,2026-08-09,1108,198,910
P019,W07,2026-08-09,1488,373,1115
P019,W08,2026-08-09,730,246,484
P020,W01,2026-08-09,2356,580,1776
P020,W02,2026-08-09,1772,246,1526
P020,W03,2026-08-09,3228,813,2415
P020,W04,2026-08-09,2414,504,1910
P020,W05,2026-08-09,1827,100,1727
P020,W06,2026-08-09,1163,97,1066
P020,W07,2026-08-09,1254,214,1040
P020,W08,2026-08-09,2879,180,2699
P021,W01,2026-08-09,1037,286,751
P021,W02,2026-08-09,5070,1544,3526
P021,W03,2026-08-09,1647,538,1109
P021,W04,2026-08-09,2092,287,1805
P021,W05,2026-08-09,4471,405,4066
P021,W06,2026-08-09,3635,395,3240
P021,W07,2026-08-09,1130,152,978
P021,W08,2026-08-09,4288,1196,3092
P022,W01,2026-08-09,863,67,796
P022,W02,2026-08-09,613,36,577
P022,W03,2026-08-09,3184,665,2519
P022,W04,2026-08-09,2863,834,2029
P022,W05,2026-08-09,937,247,690
P022,W06,2026-08-09,1292,106,1186
P022,W07,2026-08-09,1936,284,1652
P022,W08,2026-08-09,1186,119,1067
P023,W01,2026-08-09,2363,519,1844
P023,W02,2026-08-09,5320,1461,3859
P023,W03,2026-08-09,1031,283,748
P023,W04,2026-08-09,2225,184,2041
P023,W05,2026-08-09,3042,550,2492
P023,W06,2026-08-09,791,142,649
P023,W07,2026-08-09,1137,360,777
P023,W08,2026-08-09,1599,173,1426
P024,W01,2026-08-09,4404,597,3807
P024,W02,2026-08-09,5554,1067,4487
P024,W03,2026-08-09,2621,611,2010
P024,W04,2026-08-09,2179,739,1440
P024,W05,2026-08-09,3853,696,3157
P024,W06,2026-08-09,3609,510,3099
P024,W07,2026-08-09,2291,609,1682
P024,W08,2026-08-09,2912,493,2419
P025,W01,2026-08-09,793,226,567
P025,W02,2026-08-09,3043,852,2191
P025,W03,2026-08-09,1394,86,1308
P025,W04,2026-08-09,1502,503,999
P025,W05,2026-08-09,2191,402,1789
P025,W06,2026-08-09,3108,787,2321
P025,W07,2026-08-09,966,305,661
P025,W08,2026-08-09,1293,178,1115
P026,W01,2026-08-09,1209,74,1135
P026,W02,2026-08-09,1383,191,1192
P026,W03,2026-08-09,466,56,410
P026,W04,2026-08-09,569,106,463
P026,W05,2026-08-09,615,75,540
P026,W06,2026-08-09,1658,536,1122
P026,W07,2026-08-09,2427,189,2238
P026,W08,2026-08-09,464,106,358
P027,W01,2026-08-09,1083,329,754
P027,W02,2026-08-09,1469,200,1269
P027,W03,2026-08-09,3622,941,2681
P027,W04,2026-08-09,2670,692,1978
P027,W05,2026-08-09,1917,632,1285
P027,W06,2026-08-09,3443,924,2519
P027,W07,2026-08-09,1130,284,846
P027,W08,2026-08-09,1910,294,1616
P028,W01,2026-08-09,955,84,871
P028,W02,2026-08-09,183,41,142
P028,W03,2026-08-09,134,13,121
P028,W04,2026-08-09,313,49,264
P028,W05,2026-08-09,342,53,289
P028,W06,2026-08-09,649,216,433
P028,W07,2026-08-09,186,30,156
P028,W08,2026-08-09,404,131,273
P029,W01,2026-08-09,2409,479,1930
P029,W02,2026-08-09,1477,488,989
