po_id,product_id,supplier_id,ordered_qty,expected_date,status
PO001,P001,S001,800,2026-08-05,DELAYED
PO002,P002,S002,1200,2026-08-03,DELAYED
PO003,P003,S003,900,2026-08-04,DELAYED
PO004,P004,S004,600,2026-08-07,OPEN
PO005,P005,S005,700,2026-08-06,DELAYED
PO006,P006,S006,400,2026-08-08,OPEN
PO007,P007,S007,500,2026-08-10,OPEN
PO008,P008,S008,450,2026-08-11,RECEIVED
PO009,P009,S009,350,2026-08-09,OPEN
PO010,P010,S010,1000,2026-08-12,RECEIVED
PO011,P011,S011,800,2026-08-12,RECEIVED
PO012,P012,S012,1500,2026-08-13,RECEIVED
PO013,P013,S013,300,2026-08-14,RECEIVED
PO014,P014,S014,250,2026-08-08,OPEN
PO015,P015,S015,350,2026-08-07,DELAYED
