shipment_id,po_id,shipment_date,expected_delivery,actual_delivery,status
SHP001,PO001,2026-07-28,2026-08-05,,DELAYED
SHP002,PO002,2026-07-25,2026-08-03,,DELAYED
SHP003,PO003,2026-07-26,2026-08-04,,DELAYED
SHP004,PO004,2026-08-01,2026-08-07,,IN_TRANSIT
SHP005,PO005,2026-07-30,2026-08-06,,DELAYED
SHP006,PO006,2026-08-02,2026-08-08,,IN_TRANSIT
SHP007,PO007,2026-08-04,2026-08-10,,IN_TRANSIT
SHP008,PO008,2026-08-01,2026-08-08,2026-08-08,ON_TIME
SHP009,PO009,2026-08-03,2026-08-09,,IN_TRANSIT
SHP010,PO010,2026-08-05,2026-08-12,2026-08-11,ON_TIME
SHP011,PO011,2026-08-05,2026-08-12,2026-08-12,ON_TIME
SHP012,PO012,2026-08-06,2026-08-13,2026-08-13,ON_TIME
SHP013,PO013,2026-08-07,2026-08-14,2026-08-14,ON_TIME
SHP014,PO014,2026-08-01,2026-08-08,,IN_TRANSIT
SHP015,PO015,2026-07-29,2026-08-07,,DELAYED
