po_id,product_id,supplier_id,ordered_qty,received_qty,order_date,expected_date,actual_date,status
PO00001,P015,S12,6968,0,2026-06-13,2026-06-28,,OPEN
PO00002,P028,S09,7464,0,2026-07-03,2026-07-14,,OPEN
PO00003,P030,S07,5790,5790,2026-07-12,2026-07-26,2026-07-27,RECEIVED
PO00004,P024,S02,6988,6988,2026-07-05,2026-07-15,2026-07-14,RECEIVED
PO00005,P012,S08,431,431,2026-07-21,2026-08-06,2026-08-05,RECEIVED
PO00006,P009,S08,3937,3937,2026-07-25,2026-08-10,2026-08-10,RECEIVED
PO00007,P029,S06,3762,3008,2026-06-04,2026-06-13,2026-06-13,PARTIAL
PO00008,P009,S08,4876,4876,2026-06-15,2026-07-01,2026-07-01,RECEIVED
PO00009,P022,S11,857,368,2026-06-14,2026-06-27,2026-06-27,PARTIAL
PO00010,P003,S07,7729,7729,2026-07-25,2026-08-08,2026-08-09,RECEIVED
PO00011,P005,S05,4400,0,2026-06-24,2026-07-01,,OPEN
PO00012,P025,S05,1558,0,2026-06-24,2026-07-01,,OPEN
PO00013,P030,S07,647,647,2026-06-29,2026-07-13,2026-07-14,RECEIVED
PO00014,P015,S12,3720,0,2026-05-31,2026-06-15,,OPEN
PO00015,P014,S07,1396,1396,2026-07-30,2026-08-13,2026-08-13,RECEIVED
PO00016,P016,S09,5113,4181,2026-07-12,2026-07-23,2026-07-23,PARTIAL
PO00017,P002,S02,2898,0,2026-06-16,2026-06-26,,CANCELLED
PO00018,P012,S08,631,381,2026-06-13,2026-06-29,2026-06-29,PARTIAL
PO00019,P005,S05,4885,4885,2026-07-15,2026-07-22,2026-07-23,RECEIVED
PO00020,P025,S05,2177,2177,2026-06-22,2026-06-29,2026-07-01,RECEIVED
PO00021,P024,S02,3281,0,2026-06-25,2026-07-05,,CANCELLED
PO00022,P005,S05,1789,1789,2026-07-05,2026-07-12,2026-07-12,RECEIVED
PO00023,P010,S13,6014,0,2026-06-09,2026-06-26,,OPEN
PO00024,P018,S05,3194,3194,2026-07-07,2026-07-14,2026-07-13,RECEIVED
PO00025,P021,S13,1871,861,2026-08-01,2026-08-18,2026-08-20,PARTIAL
PO00026,P016,S09,5706,3969,2026-07-31,2026-08-11,2026-08-12,PARTIAL
PO00027,P012,S08,1846,1238,2026-06-30,2026-07-16,2026-07-16,PARTIAL
PO00028,P008,S05,893,0,2026-07-30,2026-08-06,,OPEN
PO00029,P012,S08,828,0,2026-07-12,2026-07-28,,OPEN
PO00030,P027,S03,2175,0,2026-07-08,2026-07-16,,CANCELLED
PO00031,P016,S09,6333,6333,2026-07-15,2026-07-26,2026-07-26,RECEIVED
PO00032,P029,S06,425,425,2026-07-01,2026-07-10,2026-07-10,RECEIVED
PO00033,P002,S02,1831,0,2026-07-12,2026-07-22,,CANCELLED
PO00034,P017,S02,7238,7238,2026-07-07,2026-07-17,2026-07-17,RECEIVED
PO00035,P003,S07,4125,4125,2026-05-30,2026-06-13,2026-06-13,RECEIVED
PO00036,P011,S07,904,187,2026-06-05,2026-06-19,,PARTIAL
PO00037,P024,S02,6691,0,2026-07-23,2026-08-02,,OPEN
PO00038,P030,S07,7529,0,2026-06-26,2026-07-10,,CANCELLED
PO00039,P007,S06,4329,2082,2026-06-27,2026-07-06,2026-07-06,PARTIAL
PO00040,P026,S03,6145,0,2026-07-27,2026-08-04,,OPEN
PO00041,P013,S08,7255,7255,2026-08-03,2026-08-19,2026-08-20,RECEIVED
PO00042,P023,S11,7065,7065,2026-05-29,2026-06-11,2026-06-12,RECEIVED
PO00043,P021,S13,1910,1600,2026-06-27,2026-07-14,2026-07-16,PARTIAL
PO00044,P002,S02,7279,3275,2026-08-01,2026-08-11,2026-08-12,PARTIAL
PO00045,P004,S04,6243,0,2026-07-05,2026-07-23,,CANCELLED
PO00046,P006,S03,1826,798,2026-07-06,2026-07-14,2026-07-16,PARTIAL
PO00047,P010,S13,3225,0,2026-05-28,2026-06-14,,OPEN
PO00048,P014,S07,204,151,2026-07-26,2026-08-09,2026-08-10,PARTIAL
PO00049,P017,S02,6851,5557,2026-07-14,2026-07-24,2026-07-25,PARTIAL
PO00050,P022,S11,1977,0,2026-06-27,2026-07-10,,OPEN
PO00051,P006,S03,2456,2456,2026-07-23,2026-07-31,2026-08-01,RECEIVED
PO00052,P008,S05,3263,3263,2026-06-15,2026-06-22,2026-06-22,RECEIVED
PO00053,P023,S11,6497,3939,2026-05-30,2026-06-12,2026-06-12,PARTIAL
PO00054,P015,S12,5253,3090,2026-06-03,2026-06-18,,PARTIAL
PO00055,P018,S05,1454,1454,2026-07-02,2026-07-09,2026-07-10,RECEIVED
PO00056,P030,S07,3132,0,2026-07-03,2026-07-17,,OPEN
PO00057,P008,S05,4480,0,2026-05-30,2026-06-06,,OPEN
PO00058,P009,S08,4101,2389,2026-05-28,2026-06-13,2026-06-14,PARTIAL
PO00059,P017,S02,1036,0,2026-07-31,2026-08-10,,CANCELLED
PO00060,P019,S11,4631,2572,2026-07-12,2026-07-25,,PARTIAL
PO00061,P027,S03,2149,0,2026-07-28,2026-08-05,,OPEN
PO00062,P014,S07,6556,2955,2026-07-26,2026-08-09,2026-08-10,PARTIAL
PO00063,P024,S02,4763,0,2026-07-02,2026-07-12,,OPEN
PO00064,P009,S08,5506,2223,2026-06-17,2026-07-03,2026-07-04,PARTIAL
PO00065,P002,S02,5460,5460,2026-07-20,2026-07-30,2026-07-30,RECEIVED
PO00066,P017,S02,2298,0,2026-07-06,2026-07-16,,OPEN
PO00067,P007,S06,6263,6263,2026-07-24,2026-08-02,2026-08-01,RECEIVED
PO00068,P013,S08,798,798,2026-07-24,2026-08-09,2026-08-09,RECEIVED
PO00069,P024,S02,7575,7575,2026-05-29,2026-06-08,2026-06-08,RECEIVED
PO00070,P016,S09,2230,2230,2026-07-05,2026-07-16,2026-07-15,RECEIVED
PO00071,P019,S11,3208,0,2026-07-07,2026-07-20,,OPEN
PO00072,P024,S02,6265,0,2026-06-07,2026-06-17,,OPEN
PO00073,P015,S12,6864,0,2026-06-15,2026-06-30,,OPEN
PO00074,P028,S09,4743,0,2026-05-29,2026-06-09,,CANCELLED
PO00075,P018,S05,203,203,2026-07-03,2026-07-10,2026-07-12,RECEIVED
PO00076,P017,S02,471,343,2026-06-04,2026-06-14,2026-06-16,PARTIAL
PO00077,P020,S15,4313,0,2026-06-08,2026-06-17,,OPEN
PO00078,P022,S11,6203,6203,2026-06-30,2026-07-13,2026-07-12,RECEIVED
PO00079,P029,S06,5216,0,2026-07-28,2026-08-06,,OPEN
PO00080,P018,S05,6914,0,2026-07-08,2026-07-15,,OPEN
PO00081,P011,S07,1347,0,2026-05-28,2026-06-11,,OPEN
PO00082,P009,S08,3914,2404,2026-06-22,2026-07-08,2026-07-10,PARTIAL
PO00083,P030,S07,3483,0,2026-06-21,2026-07-05,,OPEN
PO00084,P011,S07,4502,0,2026-06-07,2026-06-21,,OPEN
PO00085,P014,S07,5812,5812,2026-07-07,2026-07-21,2026-07-21,RECEIVED
PO00086,P026,S03,2218,850,2026-06-26,2026-07-04,,PARTIAL
PO00087,P028,S09,2430,1354,2026-07-17,2026-07-28,,PARTIAL
PO00088,P011,S07,7206,0,2026-06-08,2026-06-22,,OPEN
PO00089,P005,S05,3619,0,2026-06-17,2026-06-24,,OPEN
PO00090,P025,S05,2736,1707,2026-07-22,2026-07-29,2026-07-31,PARTIAL
PO00091,P009,S08,3627,3627,2026-06-30,2026-07-16,2026-07-15,RECEIVED
PO00092,P007,S06,1384,0,2026-07-10,2026-07-19,,CANCELLED
PO00093,P005,S05,7051,0,2026-06-13,2026-06-20,,CANCELLED
PO00094,P009,S08,3548,3548,2026-06-09,2026-06-25,2026-06-26,RECEIVED
PO00095,P013,S08,5734,5734,2026-07-27,2026-08-12,2026-08-13,RECEIVED
PO00096,P020,S15,661,661,2026-06-27,2026-07-06,2026-07-07,RECEIVED
PO00097,P025,S05,1199,1199,2026-06-24,2026-07-01,2026-07-02,RECEIVED
PO00098,P002,S02,4509,3652,2026-07-28,2026-08-07,2026-08-07,PARTIAL
PO00099,P024,S02,4864,4864,2026-05-26,2026-06-05,2026-06-06,RECEIVED
PO00100,P023,S11,7156,7156,2026-06-12,2026-06-25,2026-06-24,RECEIVED
PO00101,P014,S07,2743,2743,2026-07-13,2026-07-27,2026-07-28,RECEIVED
PO00102,P015,S12,6680,1442,2026-07-10,2026-07-25,,PARTIAL
PO00103,P024,S02,4502,0,2026-07-07,2026-07-17,,CANCELLED
PO00104,P009,S08,2742,2090,2026-05-30,2026-06-15,2026-06-15,PARTIAL
PO00105,P016,S09,1542,0,2026-05-26,2026-06-06,,OPEN
PO00106,P005,S05,3009,3009,2026-08-04,2026-08-11,2026-08-11,RECEIVED
PO00107,P016,S09,2228,2228,2026-06-03,2026-06-14,2026-06-14,RECEIVED
PO00108,P008,S05,6557,0,2026-07-03,2026-07-10,,OPEN
PO00109,P007,S06,4279,0,2026-07-15,2026-07-24,,CANCELLED
PO00110,P019,S11,4701,0,2026-06-13,2026-06-26,,OPEN
PO00111,P003,S07,1901,784,2026-06-04,2026-06-18,2026-06-20,PARTIAL
PO00112,P004,S04,2989,0,2026-05-30,2026-06-17,,OPEN
PO00113,P014,S07,2194,0,2026-06-07,2026-06-21,,CANCELLED
PO00114,P004,S04,5099,0,2026-06-15,2026-07-03,,OPEN
PO00115,P025,S05,6589,6589,2026-06-23,2026-06-30,2026-06-30,RECEIVED
PO00116,P028,S09,2062,595,2026-05-28,2026-06-08,,PARTIAL
PO00117,P006,S03,4739,0,2026-05-26,2026-06-03,,OPEN
PO00118,P017,S02,2898,2028,2026-06-16,2026-06-26,2026-06-27,PARTIAL
PO00119,P019,S11,4311,0,2026-06-03,2026-06-16,,OPEN
PO00120,P014,S07,2655,2655,2026-07-15,2026-07-29,2026-07-29,RECEIVED
PO00121,P002,S02,6388,6388,2026-06-30,2026-07-10,2026-07-12,RECEIVED
PO00122,P005,S05,2024,0,2026-06-08,2026-06-15,,OPEN
PO00123,P015,S12,6062,0,2026-07-30,2026-08-14,,OPEN
PO00124,P022,S11,911,0,2026-07-28,2026-08-10,,CANCELLED
PO00125,P020,S15,4924,0,2026-06-14,2026-06-23,,CANCELLED
PO00126,P024,S02,6768,3928,2026-06-20,2026-06-30,2026-06-30,PARTIAL
PO00127,P008,S05,7578,0,2026-08-04,2026-08-11,,OPEN
PO00128,P015,S12,7832,0,2026-07-23,2026-08-07,,OPEN
PO00129,P013,S08,540,387,2026-06-30,2026-07-16,2026-07-17,PARTIAL
PO00130,P010,S13,7003,0,2026-06-20,2026-07-07,,CANCELLED
PO00131,P028,S09,4779,0,2026-07-17,2026-07-28,,OPEN
PO00132,P028,S09,5133,1091,2026-07-04,2026-07-15,,PARTIAL
PO00133,P015,S12,4632,2079,2026-06-23,2026-07-08,,PARTIAL
PO00134,P005,S05,4251,4251,2026-07-02,2026-07-09,2026-07-10,RECEIVED
PO00135,P015,S12,1334,0,2026-07-08,2026-07-23,,OPEN
PO00136,P027,S03,1225,0,2026-08-02,2026-08-10,,OPEN
PO00137,P011,S07,2832,1264,2026-07-16,2026-07-30,,PARTIAL
PO00138,P004,S04,6009,0,2026-05-31,2026-06-18,,OPEN
PO00139,P029,S06,5930,2854,2026-06-07,2026-06-16,2026-06-18,PARTIAL
PO00140,P013,S08,374,0,2026-06-12,2026-06-28,,OPEN
PO00141,P020,S15,574,574,2026-07-07,2026-07-16,2026-07-16,RECEIVED
PO00142,P029,S06,7072,0,2026-08-02,2026-08-11,,OPEN
PO00143,P016,S09,2734,2288,2026-07-09,2026-07-20,2026-07-20,PARTIAL
PO00144,P027,S03,1204,0,2026-06-02,2026-06-10,,OPEN
PO00145,P027,S03,1184,1184,2026-06-08,2026-06-16,2026-06-17,RECEIVED
PO00146,P011,S07,5704,0,2026-07-23,2026-08-06,,CANCELLED
PO00147,P015,S12,7388,0,2026-07-21,2026-08-05,,OPEN
PO00148,P012,S08,4000,3398,2026-07-09,2026-07-25,2026-07-27,PARTIAL
PO00149,P024,S02,3574,0,2026-07-27,2026-08-06,,OPEN
PO00150,P021,S13,4687,4687,2026-06-12,2026-06-29,2026-06-29,RECEIVED
PO00151,P022,S11,7778,7778,2026-05-28,2026-06-10,2026-06-10,RECEIVED
PO00152,P003,S07,2588,0,2026-07-20,2026-08-03,,OPEN
PO00153,P030,S07,4072,3333,2026-05-26,2026-06-09,2026-06-11,PARTIAL
PO00154,P015,S12,5827,0,2026-07-20,2026-08-04,,OPEN
PO00155,P006,S03,3661,0,2026-05-26,2026-06-03,,OPEN
PO00156,P021,S13,5048,2399,2026-07-27,2026-08-13,2026-08-14,PARTIAL
PO00157,P018,S05,1156,546,2026-06-29,2026-07-06,2026-07-08,PARTIAL
PO00158,P008,S05,2880,0,2026-07-16,2026-07-23,,CANCELLED
PO00159,P025,S05,5579,5579,2026-06-12,2026-06-19,2026-06-19,RECEIVED
PO00160,P022,S11,6750,6750,2026-06-10,2026-06-23,2026-06-22,RECEIVED
PO00161,P001,S10,763,0,2026-08-01,2026-08-21,,OPEN
PO00162,P003,S07,6269,6269,2026-06-27,2026-07-11,2026-07-12,RECEIVED
PO00163,P008,S05,7999,7999,2026-06-04,2026-06-11,2026-06-11,RECEIVED
PO00164,P022,S11,3652,2594,2026-06-21,2026-07-04,2026-07-05,PARTIAL
PO00165,P003,S07,1985,0,2026-06-04,2026-06-18,,CANCELLED
PO00166,P027,S03,3460,3460,2026-06-11,2026-06-19,2026-06-19,RECEIVED
PO00167,P022,S11,3201,3201,2026-05-30,2026-06-12,2026-06-11,RECEIVED
PO00168,P017,S02,6919,3787,2026-06-17,2026-06-27,2026-06-29,PARTIAL
PO00169,P010,S13,393,111,2026-07-06,2026-07-23,,PARTIAL
PO00170,P009,S08,4785,4785,2026-08-01,2026-08-17,2026-08-18,RECEIVED
PO00171,P001,S10,6975,0,2026-06-16,2026-07-06,,OPEN
PO00172,P015,S12,5478,0,2026-07-08,2026-07-23,,OPEN
PO00173,P008,S05,4481,4481,2026-07-05,2026-07-12,2026-07-12,RECEIVED
PO00174,P008,S05,1620,1620,2026-06-26,2026-07-03,2026-07-05,RECEIVED
PO00175,P020,S15,5472,3654,2026-07-03,2026-07-12,2026-07-13,PARTIAL
PO00176,P018,S05,6031,3362,2026-06-26,2026-07-03,2026-07-03,PARTIAL
PO00177,P017,S02,6458,0,2026-06-27,2026-07-07,,CANCELLED
PO00178,P011,S07,6220,0,2026-07-28,2026-08-11,,OPEN
PO00179,P006,S03,5095,3401,2026-06-07,2026-06-15,2026-06-17,PARTIAL
PO00180,P007,S06,3280,0,2026-08-01,2026-08-10,,CANCELLED
PO00181,P013,S08,224,0,2026-06-06,2026-06-22,,CANCELLED
PO00182,P003,S07,4529,4529,2026-06-19,2026-07-03,2026-07-02,RECEIVED
PO00183,P017,S02,3706,0,2026-07-01,2026-07-11,,OPEN
PO00184,P017,S02,4076,0,2026-07-13,2026-07-23,,CANCELLED
PO00185,P006,S03,5182,2291,2026-06-30,2026-07-08,2026-07-10,PARTIAL
PO00186,P011,S07,4455,1512,2026-07-21,2026-08-04,,PARTIAL
PO00187,P019,S11,6163,3573,2026-06-24,2026-07-07,,PARTIAL
PO00188,P025,S05,7348,7348,2026-07-21,2026-07-28,2026-07-27,RECEIVED
PO00189,P024,S02,2222,0,2026-06-13,2026-06-23,,OPEN
PO00190,P029,S06,5141,4043,2026-08-03,2026-08-12,2026-08-12,PARTIAL
PO00191,P001,S10,3350,0,2026-06-14,2026-07-04,,OPEN
PO00192,P009,S08,3722,0,2026-07-24,2026-08-09,,OPEN
PO00193,P023,S11,5531,4545,2026-06-22,2026-07-05,2026-07-07,PARTIAL
PO00194,P020,S15,6171,0,2026-06-22,2026-07-01,,OPEN
PO00195,P011,S07,1138,0,2026-06-25,2026-07-09,,OPEN
PO00196,P017,S02,810,810,2026-06-02,2026-06-12,2026-06-12,RECEIVED
PO00197,P024,S02,428,428,2026-07-03,2026-07-13,2026-07-13,RECEIVED
PO00198,P029,S06,4724,0,2026-07-28,2026-08-06,,OPEN
PO00199,P029,S06,448,0,2026-08-02,2026-08-11,,OPEN
PO00200,P008,S05,5335,0,2026-05-29,2026-06-05,,CANCELLED
PO00201,P017,S02,6373,0,2026-06-02,2026-06-12,,OPEN
PO00202,P011,S07,2142,0,2026-07-19,2026-08-02,,OPEN
PO00203,P006,S03,3578,0,2026-06-19,2026-06-27,,OPEN
PO00204,P009,S08,4479,4479,2026-06-17,2026-07-03,2026-07-04,RECEIVED
PO00205,P026,S03,5221,0,2026-07-26,2026-08-03,,OPEN
PO00206,P030,S07,6977,6977,2026-06-28,2026-07-12,2026-07-11,RECEIVED
PO00207,P018,S05,5289,5289,2026-07-06,2026-07-13,2026-07-12,RECEIVED
PO00208,P004,S04,2657,0,2026-07-18,2026-08-05,,CANCELLED
PO00209,P027,S03,1143,0,2026-06-06,2026-06-14,,OPEN
PO00210,P021,S13,7962,3203,2026-08-04,2026-08-21,2026-08-22,PARTIAL
PO00211,P012,S08,478,218,2026-08-01,2026-08-17,2026-08-17,PARTIAL
PO00212,P020,S15,5533,4241,2026-07-20,2026-07-29,2026-07-29,PARTIAL
PO00213,P018,S05,6738,6738,2026-07-02,2026-07-09,2026-07-09,RECEIVED
PO00214,P021,S13,444,444,2026-08-03,2026-08-20,2026-08-19,RECEIVED
PO00215,P022,S11,4017,0,2026-06-13,2026-06-26,,OPEN
PO00216,P005,S05,5531,5531,2026-06-04,2026-06-11,2026-06-11,RECEIVED
PO00217,P028,S09,4485,0,2026-07-10,2026-07-21,,OPEN
PO00218,P007,S06,2254,2254,2026-06-26,2026-07-05,2026-07-05,RECEIVED
PO00219,P013,S08,3319,3319,2026-08-03,2026-08-19,2026-08-18,RECEIVED
PO00220,P019,S11,3471,0,2026-07-14,2026-07-27,,OPEN
PO00221,P024,S02,7243,7243,2026-07-28,2026-08-07,2026-08-07,RECEIVED
PO00222,P006,S03,4776,0,2026-07-29,2026-08-06,,CANCELLED
PO00223,P028,S09,2832,0,2026-07-20,2026-07-31,,OPEN
PO00224,P017,S02,6747,0,2026-07-01,2026-07-11,,OPEN
PO00225,P010,S13,7245,0,2026-06-07,2026-06-24,,CANCELLED
PO00226,P013,S08,1591,1274,2026-07-03,2026-07-19,2026-07-19,PARTIAL
PO00227,P003,S07,5703,5703,2026-06-22,2026-07-06,2026-07-05,RECEIVED
PO00228,P012,S08,2139,1007,2026-06-27,2026-07-13,2026-07-13,PARTIAL
PO00229,P026,S03,6299,0,2026-07-12,2026-07-20,,OPEN
PO00230,P028,S09,1515,0,2026-07-04,2026-07-15,,CANCELLED
PO00231,P010,S13,251,0,2026-07-04,2026-07-21,,OPEN
PO00232,P004,S04,3002,627,2026-06-06,2026-06-24,,PARTIAL
PO00233,P016,S09,2891,0,2026-07-24,2026-08-04,,OPEN
PO00234,P028,S09,5536,0,2026-05-26,2026-06-06,,OPEN
PO00235,P006,S03,5548,5548,2026-07-13,2026-07-21,2026-07-23,RECEIVED
PO00236,P028,S09,7441,0,2026-06-26,2026-07-07,,OPEN
PO00237,P007,S06,3340,3340,2026-07-02,2026-07-11,2026-07-11,RECEIVED
PO00238,P007,S06,1357,0,2026-06-16,2026-06-25,,OPEN
PO00239,P004,S04,7092,2081,2026-06-30,2026-07-18,,PARTIAL
PO00240,P012,S08,5533,5533,2026-07-10,2026-07-26,2026-07-26,RECEIVED
PO00241,P012,S08,478,478,2026-06-13,2026-06-29,2026-06-28,RECEIVED
