order_id,product_id,warehouse_id,order_qty,promised_date,delivery_date,status
SO00001,P027,W07,631,2026-06-18,2026-06-18,DELIVERED
SO00002,P024,W07,197,2026-08-09,2026-08-11,DELIVERED
SO00003,P001,W05,218,2026-06-26,,OPEN
SO00004,P028,W08,308,2026-08-20,,BACKORDER
SO00005,P014,W04,152,2026-07-13,2026-07-13,SHIPPED
SO00006,P007,W08,108,2026-08-05,2026-08-05,SHIPPED
SO00007,P017,W04,128,2026-08-08,2026-08-08,SHIPPED
SO00008,P029,W03,310,2026-06-28,2026-06-30,SHIPPED
SO00009,P016,W04,410,2026-06-26,,CONFIRMED
SO00010,P027,W03,33,2026-07-27,2026-07-27,SHIPPED
SO00011,P010,W04,306,2026-07-02,2026-07-03,DELIVERED
SO00012,P021,W03,395,2026-08-03,2026-08-04,DELIVERED
SO00013,P004,W04,233,2026-07-31,2026-08-05,DELIVERED
SO00014,P026,W06,345,2026-07-26,2026-07-29,DELIVERED
SO00015,P012,W02,496,2026-08-07,2026-08-09,DELIVERED
SO00016,P004,W03,162,2026-07-07,2026-07-12,SHIPPED
SO00017,P021,W03,718,2026-07-26,,CONFIRMED
SO00018,P003,W06,702,2026-08-11,,OPEN
SO00019,P021,W02,552,2026-08-18,,OPEN
SO00020,P002,W03,757,2026-07-09,,CONFIRMED
SO00021,P030,W06,174,2026-07-09,2026-07-11,SHIPPED
SO00022,P004,W06,673,2026-08-04,2026-08-09,SHIPPED
SO00023,P002,W02,509,2026-07-31,,OPEN
SO00024,P004,W03,737,2026-08-08,,CONFIRMED
SO00025,P008,W07,651,2026-07-22,2026-07-23,DELIVERED
SO00026,P018,W02,489,2026-08-03,,OPEN
SO00027,P022,W06,50,2026-08-07,,BACKORDER
SO00028,P003,W04,237,2026-07-05,2026-07-06,SHIPPED
SO00029,P016,W07,761,2026-06-17,2026-06-18,DELIVERED
SO00030,P014,W02,771,2026-07-06,2026-07-07,DELIVERED
SO00031,P011,W08,422,2026-07-21,,CONFIRMED
SO00032,P018,W05,705,2026-06-19,2026-06-21,DELIVERED
SO00033,P015,W04,747,2026-08-16,,CONFIRMED
SO00034,P028,W07,676,2026-07-04,,CANCELLED
SO00035,P013,W02,746,2026-06-18,,OPEN
SO00036,P011,W08,577,2026-07-08,,CONFIRMED
SO00037,P025,W08,135,2026-08-06,,OPEN
SO00038,P015,W03,776,2026-07-18,,CONFIRMED
SO00039,P016,W05,631,2026-08-01,,CONFIRMED
SO00040,P010,W01,342,2026-07-07,2026-07-09,SHIPPED
SO00041,P003,W08,745,2026-06-29,2026-06-29,DELIVERED
SO00042,P029,W06,749,2026-07-20,2026-07-22,DELIVERED
SO00043,P011,W06,762,2026-07-10,,CONFIRMED
SO00044,P004,W06,565,2026-07-17,2026-07-20,SHIPPED
SO00045,P013,W06,612,2026-07-19,2026-07-21,DELIVERED
SO00046,P028,W04,473,2026-07-02,2026-07-07,DELIVERED
SO00047,P016,W01,483,2026-07-23,,BACKORDER
SO00048,P002,W05,418,2026-08-14,2026-08-16,DELIVERED
SO00049,P019,W06,57,2026-06-19,,CONFIRMED
SO00050,P022,W04,678,2026-07-09,,CONFIRMED
SO00051,P001,W08,39,2026-07-29,,CONFIRMED
SO00052,P014,W02,782,2026-07-04,2026-07-06,DELIVERED
SO00053,P008,W07,125,2026-07-28,2026-07-29,DELIVERED
SO00054,P024,W03,346,2026-07-25,,BACKORDER
SO00055,P008,W08,280,2026-07-16,,OPEN
SO00056,P003,W02,163,2026-07-02,,BACKORDER
SO00057,P007,W01,457,2026-07-28,2026-07-28,DELIVERED
SO00058,P004,W04,211,2026-08-16,,BACKORDER
SO00059,P025,W08,748,2026-08-17,2026-08-17,SHIPPED
SO00060,P007,W01,116,2026-08-20,2026-08-22,SHIPPED
SO00061,P010,W08,114,2026-07-17,2026-07-21,DELIVERED
SO00062,P010,W05,548,2026-07-03,,CANCELLED
SO00063,P015,W05,379,2026-08-07,2026-08-10,DELIVERED
SO00064,P001,W02,149,2026-07-14,,OPEN
SO00065,P014,W04,132,2026-08-09,,CONFIRMED
SO00066,P021,W02,369,2026-07-16,2026-07-18,DELIVERED
SO00067,P021,W01,311,2026-07-26,,CONFIRMED
SO00068,P019,W01,719,2026-07-11,,OPEN
SO00069,P024,W04,335,2026-07-20,2026-07-20,DELIVERED
SO00070,P027,W05,698,2026-07-18,,CONFIRMED
SO00071,P028,W01,150,2026-07-12,,BACKORDER
SO00072,P017,W01,138,2026-07-29,2026-07-29,DELIVERED
SO00073,P018,W06,675,2026-08-06,2026-08-08,SHIPPED
SO00074,P009,W04,290,2026-08-11,2026-08-11,DELIVERED
SO00075,P001,W07,651,2026-06-15,,OPEN
SO00076,P030,W06,95,2026-08-12,,CONFIRMED
SO00077,P026,W07,307,2026-06-17,,CANCELLED
SO00078,P011,W07,557,2026-06-22,,BACKORDER
SO00079,P018,W06,498,2026-08-05,,CONFIRMED
SO00080,P013,W04,307,2026-08-08,2026-08-09,SHIPPED
SO00081,P028,W04,29,2026-06-23,2026-06-28,DELIVERED
SO00082,P016,W06,705,2026-07-10,2026-07-10,SHIPPED
SO00083,P028,W03,437,2026-07-09,,CANCELLED
SO00084,P012,W02,337,2026-06-28,2026-06-28,DELIVERED
SO00085,P012,W01,328,2026-08-12,2026-08-13,SHIPPED
SO00086,P029,W05,589,2026-06-19,2026-06-21,DELIVERED
SO00087,P025,W08,44,2026-07-02,2026-07-02,DELIVERED
SO00088,P026,W06,684,2026-07-11,2026-07-15,SHIPPED
SO00089,P006,W08,212,2026-07-24,2026-07-26,DELIVERED
SO00090,P028,W07,348,2026-07-03,,BACKORDER
SO00091,P003,W02,759,2026-08-15,2026-08-15,DELIVERED
SO00092,P008,W02,716,2026-07-09,,OPEN
SO00093,P023,W07,487,2026-08-04,2026-08-06,SHIPPED
SO00094,P030,W03,712,2026-07-11,2026-07-13,SHIPPED
SO00095,P010,W04,176,2026-08-14,2026-08-18,DELIVERED
SO00096,P017,W07,36,2026-08-20,2026-08-20,DELIVERED
SO00097,P020,W03,608,2026-07-18,2026-07-18,SHIPPED
SO00098,P007,W08,22,2026-06-28,2026-06-28,SHIPPED
SO00099,P023,W01,577,2026-08-06,2026-08-07,DELIVERED
SO00100,P012,W07,510,2026-06-26,2026-06-27,SHIPPED
SO00101,P019,W04,490,2026-07-13,2026-07-15,DELIVERED
SO00102,P007,W07,483,2026-08-03,2026-08-04,DELIVERED
SO00103,P028,W04,287,2026-08-16,,BACKORDER
SO00104,P007,W04,248,2026-08-05,2026-08-05,SHIPPED
SO00105,P020,W07,78,2026-07-07,2026-07-08,SHIPPED
SO00106,P022,W05,390,2026-07-06,2026-07-06,DELIVERED
SO00107,P025,W08,435,2026-07-01,,CANCELLED
SO00108,P030,W01,239,2026-08-18,2026-08-19,DELIVERED
SO00109,P013,W07,129,2026-07-16,,OPEN
SO00110,P013,W05,59,2026-07-08,2026-07-10,DELIVERED
SO00111,P008,W06,528,2026-07-09,,CONFIRMED
SO00112,P004,W07,586,2026-06-26,,CONFIRMED
SO00113,P024,W02,534,2026-06-26,2026-06-27,SHIPPED
SO00114,P003,W03,486,2026-07-03,,OPEN
SO00115,P006,W06,355,2026-08-03,,OPEN
SO00116,P018,W01,496,2026-07-31,,CONFIRMED
SO00117,P008,W04,768,2026-07-07,2026-07-07,DELIVERED
